data,ano,mes,dia,dia_semana_num,nome_dia_semana,nome_mes,fim_de_semana,trimestre,semestre,hora_do_dia,turno,sk_tempo
2024-01-01,2024,1,1,2,Segunda-feira,Janeiro,Não,1,1,3,Madrugada,2024010103
2024-01-02,2024,1,2,3,Terça-feira,Janeiro,Não,1,1,4,Madrugada,2024010204
2024-01-03,2024,1,3,4,Quarta-feira,Janeiro,Não,1,1,5,Madrugada,2024010305
2024-01-04,2024,1,4,5,Quinta-feira,Janeiro,Não,1,1,3,Madrugada,2024010403
2024-01-05,2024,1,5,6,Sexta-feira,Janeiro,Não,1,1,4,Madrugada,2024010504
2024-01-06,2024,1,6,7,Sábado,Janeiro,Sim,1,1,5,Madrugada,2024010605
2024-01-07,2024,1,7,1,Domingo,Janeiro,Sim,1,1,3,Madrugada,2024010703
2024-01-08,2024,1,8,2,Segunda-feira,Janeiro,Não,1,1,4,Madrugada,2024010804
2024-01-09,2024,1,9,3,Terça-feira,Janeiro,Não,1,1,5,Madrugada,2024010905
2024-01-10,2024,1,10,4,Quarta-feira,Janeiro,Não,1,1,3,Madrugada,2024011003
2024-01-11,2024,1,11,5,Quinta-feira,Janeiro,Não,1,1,4,Madrugada,2024011104
2024-01-12,2024,1,12,6,Sexta-feira,Janeiro,Não,1,1,5,Madrugada,2024011205
2024-01-13,2024,1,13,7,Sábado,Janeiro,Sim,1,1,3,Madrugada,2024011303
2024-01-14,2024,1,14,1,Domingo,Janeiro,Sim,1,1,4,Madrugada,2024011404
2024-01-15,2024,1,15,2,Segunda-feira,Janeiro,Não,1,1,5,Madrugada,2024011505
2024-01-16,2024,1,16,3,Terça-feira,Janeiro,Não,1,1,3,Madrugada,2024011603
2024-01-17,2024,1,17,4,Quarta-feira,Janeiro,Não,1,1,4,Madrugada,2024011704
2024-01-18,2024,1,18,5,Quinta-feira,Janeiro,Não,1,1,5,Madrugada,2024011805
2024-01-19,2024,1,19,6,Sexta-feira,Janeiro,Não,1,1,3,Madrugada,2024011903
2024-01-20,2024,1,20,7,Sábado,Janeiro,Sim,1,1,4,Madrugada,2024012004
2024-01-21,2024,1,21,1,Domingo,Janeiro,Sim,1,1,5,Madrugada,2024012105
2024-01-22,2024,1,22,2,Segunda-feira,Janeiro,Não,1,1,3,Madrugada,2024012203
2024-01-23,2024,1,23,3,Terça-feira,Janeiro,Não,1,1,4,Madrugada,2024012304
2024-01-24,2024,1,24,4,Quarta-feira,Janeiro,Não,1,1,5,Madrugada,2024012405
2024-01-25,2024,1,25,5,Quinta-feira,Janeiro,Não,1,1,3,Madrugada,2024012503
2024-01-26,2024,1,26,6,Sexta-feira,Janeiro,Não,1,1,4,Madrugada,2024012604
2024-01-27,2024,1,27,7,Sábado,Janeiro,Sim,1,1,5,Madrugada,2024012705
2024-01-28,2024,1,28,1,Domingo,Janeiro,Sim,1,1,3,Madrugada,2024012803
2024-01-29,2024,1,29,2,Segunda-feira,Janeiro,Não,1,1,4,Madrugada,2024012904
2024-01-30,2024,1,30,3,Terça-feira,Janeiro,Não,1,1,5,Madrugada,2024013005
2024-01-31,2024,1,31,4,Quarta-feira,Janeiro,Não,1,1,3,Madrugada,2024013103
2024-02-01,2024,2,1,5,Quinta-feira,Fevereiro,Não,1,1,4,Madrugada,2024020104
2024-02-02,2024,2,2,6,Sexta-feira,Fevereiro,Não,1,1,5,Madrugada,2024020205
2024-02-03,2024,2,3,7,Sábado,Fevereiro,Sim,1,1,3,Madrugada,2024020303
2024-02-04,2024,2,4,1,Domingo,Fevereiro,Sim,1,1,4,Madrugada,2024020404
2024-02-05,2024,2,5,2,Segunda-feira,Fevereiro,Não,1,1,5,Madrugada,2024020505
2024-02-06,2024,2,6,3,Terça-feira,Fevereiro,Não,1,1,3,Madrugada,2024020603
