id_chamado,fk_tempo_abertura,fk_cliente,fk_motivo,fk_canal,fk_atendente,hora_inicio_atendimento,hora_finalizacao_atendimento,tempo_espera_seg,tempo_atendimento_seg,custo_atendimento,nota_atendimento,atendimento_resolvido
978,2025062012,13001168632,13,URA,,2025-06-20T12:36:22.000Z,2025-06-20T12:39:15.000Z,0,173,0.01391422,3,Sim
442,2025032412,11430934216,11,URA,,2025-03-24T12:22:02.000Z,2025-03-24T12:30:25.000Z,0,503,0.06600549,,Não
499,2025010912,11634868704,5,CHATBOT,,2025-01-09T12:22:34.000Z,2025-01-09T12:23:18.000Z,0,44,0.00470756,3,Sim
523,2025051810,11713842873,12,CHATBOT,,2025-05-18T10:14:58.000Z,2025-05-18T10:17:16.000Z,0,138,0.00098135,2,Não
524,2025053119,11714094723,5,CHATBOT,,2025-05-31T19:18:15.000Z,2025-05-31T19:19:46.000Z,0,91,0.00722185,2,Não
694,2025020400,12130817868,11,CHATBOT,,2025-02-04T00:33:05.000Z,2025-02-04T00:33:51.000Z,0,46,0.00639483,2,Sim
29,2025022001,10075838581,7,URA,,2025-02-20T01:51:24.000Z,2025-02-20T02:11:24.000Z,0,1200,0.06211743,2,Não
30,2025020812,10077676402,11,URA,,2025-02-08T12:45:36.000Z,2025-02-08T12:53:42.000Z,0,486,0.00104226,4,Não
753,2025011720,12297252739,7,CHATBOT,,2025-01-17T20:08:35.000Z,2025-01-17T20:12:09.000Z,0,214,0.01501794,2,Sim
776,2025051716,12367407012,11,URA,,2025-05-17T16:57:06.000Z,2025-05-17T17:01:20.000Z,0,254,0.03040047,4,Não
1054,2025062814,13270433973,9,CHATBOT,,2025-06-28T14:11:17.000Z,2025-06-28T14:14:33.000Z,0,196,0.00755668,2,Não
36,2025022504,10088885069,9,URA,,2025-02-25T04:25:33.000Z,2025-02-25T04:38:24.000Z,0,771,0.00781105,3,Não
1147,2025061609,13565678244,11,CHATBOT,,2025-06-16T09:45:18.000Z,2025-06-16T09:45:51.000Z,0,33,0.00160459,3,Não
38,2025050315,10091613918,10,URA,,2025-05-03T15:12:34.000Z,2025-05-03T15:16:10.000Z,0,216,0.02630092,3,Sim
39,2025011713,10096377870,3,URA,,2025-01-17T13:36:32.000Z,2025-01-17T13:49:29.000Z,0,777,0.05951866,2,Não
41,2025050103,10111688284,9,URA,,2025-05-01T03:59:23.000Z,2025-05-01T04:08:14.000Z,0,531,0.00678671,3,Não
1213,2025042515,13810420416,5,CHATBOT,,2025-04-25T15:02:15.000Z,2025-04-25T15:03:37.000Z,0,82,0.00287223,2,Não
1269,2025062416,14052158959,5,CHATBOT,,2025-06-24T16:34:26.000Z,2025-06-24T16:34:57.000Z,0,31,0.00559891,3,Não
