id_chamado,id_cliente,hora_abertura_chamado,hora_inicio_atendimento,hora_finalizacao_atendimento,tempo_espera_seg,tempo_atendimento_seg,tempo_total_seg,hora_da_ingestao_silver
271,10850151287,,,,,,,2025-11-24T16:37:21.909Z
1785,15468330442,,,,,,,2025-11-24T16:37:21.909Z
1898,15829935737,,,,,,,2025-11-24T16:37:21.909Z
2851,18764682252,,,,,,,2025-11-24T16:37:21.909Z
7312,32400214263,,,,,,,2025-11-24T16:37:21.909Z
7347,32538652778,,,,,,,2025-11-24T16:37:21.909Z
9762,39636001159,,,,,,,2025-11-24T16:37:21.909Z
10523,42027888031,,,,,,,2025-11-24T16:37:21.909Z
10696,42560010144,,,,,,,2025-11-24T16:37:21.909Z
14640,54538162332,,,,,,,2025-11-24T16:37:21.909Z
15392,56673520721,,,,,,,2025-11-24T16:37:21.909Z
15961,58320743428,,,,,,,2025-11-24T16:37:21.909Z
16211,59002892921,,,,,,,2025-11-24T16:37:21.909Z
17620,63273123197,,,,,,,2025-11-24T16:37:21.909Z
18741,66499565287,,,,,,,2025-11-24T16:37:21.909Z
21117,73538916416,,,,,,,2025-11-24T16:37:21.909Z
21549,75084305331,,,,,,,2025-11-24T16:37:21.909Z
23069,79701226091,,,,,,,2025-11-24T16:37:21.909Z
23798,81768828628,,,,,,,2025-11-24T16:37:21.909Z
24338,83366406082,,,,,,,2025-11-24T16:37:21.909Z
28141,94529054607,,,,,,,2025-11-24T16:37:21.909Z
28793,96390985239,,,,,,,2025-11-24T16:37:21.909Z
29079,97041916219,,,,,,,2025-11-24T16:37:21.909Z
372,11165333362,,,,,,,2025-11-24T16:37:21.909Z
722,12212330484,,,,,,,2025-11-24T16:37:21.909Z
2381,17310428373,,,,,,,2025-11-24T16:37:21.909Z
2681,18399213394,,,,,,,2025-11-24T16:37:21.909Z
2966,19135229888,,,,,,,2025-11-24T16:37:21.909Z
2979,19141976263,,,,,,,2025-11-24T16:37:21.909Z
4875,25127961616,,,,,,,2025-11-24T16:37:21.909Z
5048,25599171869,,,,,,,2025-11-24T16:37:21.909Z
6381,29660048519,,,,,,,2025-11-24T16:37:21.909Z
8610,36181444896,,,,,,,2025-11-24T16:37:21.909Z
10420,41682998573,,,,,,,2025-11-24T16:37:21.909Z
13126,49723645178,,,,,,,2025-11-24T16:37:21.909Z
13995,52383222335,,,,,,,2025-11-24T16:37:21.909Z
14280,53400518817,,,,,,,2025-11-24T16:37:21.909Z
