id_custo,id_chamado,custo,hora_da_ingestao
1,18700,0.00000154,2025-11-25T18:28:00.190Z
2,20992,0.00000658,2025-11-25T18:28:00.190Z
3,24536,0.00000800,2025-11-25T18:28:00.190Z
4,12176,0.00000988,2025-11-25T18:28:00.190Z
5,20094,0.00001172,2025-11-25T18:28:00.190Z
6,19372,0.00001326,2025-11-25T18:28:00.190Z
7,29490,0.00001564,2025-11-25T18:28:00.190Z
8,27614,0.00001586,2025-11-25T18:28:00.190Z
9,20974,0.00001592,2025-11-25T18:28:00.190Z
10,2194,0.00001638,2025-11-25T18:28:00.190Z
11,921,0.00001750,2025-11-25T18:28:00.190Z
12,24857,0.00001791,2025-11-25T18:28:00.190Z
13,2627,0.00001928,2025-11-25T18:28:00.190Z
14,24577,0.00001980,2025-11-25T18:28:00.190Z
15,16813,0.00002461,2025-11-25T18:28:00.190Z
16,29365,0.00002482,2025-11-25T18:28:00.190Z
17,13169,0.00002524,2025-11-25T18:28:00.190Z
18,17040,0.00002569,2025-11-25T18:28:00.190Z
19,12892,0.00002697,2025-11-25T18:28:00.190Z
20,19381,0.00002726,2025-11-25T18:28:00.190Z
21,11936,0.00002881,2025-11-25T18:28:00.190Z
22,18292,0.00003489,2025-11-25T18:28:00.190Z
23,3550,0.00003566,2025-11-25T18:28:00.190Z
24,21902,0.00003806,2025-11-25T18:28:00.190Z
25,29253,0.00003856,2025-11-25T18:28:00.190Z
26,21090,0.00004071,2025-11-25T18:28:00.190Z
27,5348,0.00004247,2025-11-25T18:28:00.190Z
28,26682,0.00004599,2025-11-25T18:28:00.190Z
29,4898,0.00005292,2025-11-25T18:28:00.190Z
30,6053,0.00005664,2025-11-25T18:28:00.190Z
31,28301,0.00005742,2025-11-25T18:28:00.190Z
32,9114,0.00005849,2025-11-25T18:28:00.190Z
33,21530,0.00006005,2025-11-25T18:28:00.190Z
34,3484,0.00006035,2025-11-25T18:28:00.190Z
35,27626,0.00006049,2025-11-25T18:28:00.190Z
36,7296,0.00006182,2025-11-25T18:28:00.190Z
37,2753,0.00006225,2025-11-25T18:28:00.190Z
38,17630,0.00006399,2025-11-25T18:28:00.190Z
39,9095,0.00006749,2025-11-25T18:28:00.190Z
40,11805,0.00007495,2025-11-25T18:28:00.190Z
41,24592,0.00007896,2025-11-25T18:28:00.190Z
42,6696,0.00008248,2025-11-25T18:28:00.190Z
43,9296,0.00008271,2025-11-25T18:28:00.190Z
44,19834,0.00008323,2025-11-25T18:28:00.190Z
45,9853,0.00008531,2025-11-25T18:28:00.190Z
46,22057,0.00008601,2025-11-25T18:28:00.190Z
47,1051,0.00008747,2025-11-25T18:28:00.190Z
48,19785,0.00008823,2025-11-25T18:28:00.190Z
49,15314,0.00009009,2025-11-25T18:28:00.190Z
50,10412,0.00009401,2025-11-25T18:28:00.190Z
51,6795,0.00009723,2025-11-25T18:28:00.190Z
52,898,0.00009839,2025-11-25T18:28:00.190Z
53,14330,0.00009870,2025-11-25T18:28:00.190Z
54,4132,0.00010133,2025-11-25T18:28:00.190Z
55,29125,0.00010293,2025-11-25T18:28:00.190Z
56,12690,0.00010294,2025-11-25T18:28:00.190Z
57,10206,0.00010331,2025-11-25T18:28:00.190Z
58,20862,0.00010352,2025-11-25T18:28:00.190Z
59,12330,0.00010424,2025-11-25T18:28:00.190Z
60,2014,0.00010427,2025-11-25T18:28:00.190Z
61,3407,0.00010814,2025-11-25T18:28:00.190Z
62,10637,0.00010856,2025-11-25T18:28:00.190Z
63,11958,0.00011068,2025-11-25T18:28:00.190Z
64,15758,0.00011310,2025-11-25T18:28:00.190Z
65,12563,0.00011532,2025-11-25T18:28:00.190Z
