id_pesquisa,id_chamado,nota_atendimento,hora_da_ingestao
1,1,3,2025-11-25T18:28:03.039Z
2,2,2,2025-11-25T18:28:03.039Z
3,3,3,2025-11-25T18:28:03.039Z
4,4,3,2025-11-25T18:28:03.039Z
6,5,2,2025-11-25T18:28:03.039Z
7,6,3,2025-11-25T18:28:03.039Z
8,7,2,2025-11-25T18:28:03.039Z
9,8,2,2025-11-25T18:28:03.039Z
10,9,3,2025-11-25T18:28:03.039Z
158,148,2,2025-11-25T18:28:03.039Z
159,149,3,2025-11-25T18:28:03.039Z
160,150,3,2025-11-25T18:28:03.039Z
161,151,3,2025-11-25T18:28:03.039Z
162,152,2,2025-11-25T18:28:03.039Z
164,153,3,2025-11-25T18:28:03.039Z
166,154,3,2025-11-25T18:28:03.039Z
315,298,2,2025-11-25T18:28:03.039Z
316,299,4,2025-11-25T18:28:03.039Z
317,300,2,2025-11-25T18:28:03.039Z
318,301,2,2025-11-25T18:28:03.039Z
319,302,4,2025-11-25T18:28:03.039Z
320,303,2,2025-11-25T18:28:03.039Z
322,304,3,2025-11-25T18:28:03.039Z
323,305,2,2025-11-25T18:28:03.039Z
324,306,2,2025-11-25T18:28:03.039Z
325,307,5,2025-11-25T18:28:03.039Z
472,444,3,2025-11-25T18:28:03.039Z
473,445,2,2025-11-25T18:28:03.039Z
474,446,2,2025-11-25T18:28:03.039Z
475,447,3,2025-11-25T18:28:03.039Z
478,448,2,2025-11-25T18:28:03.039Z
479,449,2,2025-11-25T18:28:03.039Z
480,450,3,2025-11-25T18:28:03.039Z
481,451,4,2025-11-25T18:28:03.039Z
482,452,5,2025-11-25T18:28:03.039Z
483,453,4,2025-11-25T18:28:03.039Z
484,454,5,2025-11-25T18:28:03.039Z
485,455,5,2025-11-25T18:28:03.039Z
487,456,4,2025-11-25T18:28:03.039Z
629,587,3,2025-11-25T18:28:03.039Z
630,588,2,2025-11-25T18:28:03.039Z
631,589,3,2025-11-25T18:28:03.039Z
632,590,2,2025-11-25T18:28:03.039Z
633,591,4,2025-11-25T18:28:03.039Z
634,592,4,2025-11-25T18:28:03.039Z
635,593,3,2025-11-25T18:28:03.039Z
640,730,,2025-11-25T18:28:03.039Z
787,736,3,2025-11-25T18:28:03.039Z
788,737,3,2025-11-25T18:28:03.039Z
789,738,4,2025-11-25T18:28:03.039Z
790,739,5,2025-11-25T18:28:03.039Z
791,740,4,2025-11-25T18:28:03.039Z
792,741,4,2025-11-25T18:28:03.039Z
793,742,2,2025-11-25T18:28:03.039Z
794,743,2,2025-11-25T18:28:03.039Z
795,744,2,2025-11-25T18:28:03.039Z
943,883,5,2025-11-25T18:28:03.039Z
944,884,4,2025-11-25T18:28:03.039Z
945,885,3,2025-11-25T18:28:03.039Z
946,886,3,2025-11-25T18:28:03.039Z
947,887,2,2025-11-25T18:28:03.039Z
948,888,4,2025-11-25T18:28:03.039Z
949,889,3,2025-11-25T18:28:03.039Z
950,890,2,2025-11-25T18:28:03.039Z
967,1025,,2025-11-25T18:28:03.039Z
