regiao_cliente,faixa_etaria_cliente,quantidade_chamados,nota_media,tme_medio_seg,tma_medio_seg,custo_medio_chamado,custo_total,taxa_resolucao
CENTRO-OESTE,Adulto,1717,3.01,218,1069,0.49,834.48,38.2
CENTRO-OESTE,Idoso,240,2.92,198,941,0.39,94.59,40
CENTRO-OESTE,Jovem,620,2.99,200,1045,0.41,251.21,39.5
NORDESTE,Adulto,5234,2.97,191,975,0.41,2123.61,39.4
NORDESTE,Idoso,700,2.94,204,1030,0.43,301.46,37
NORDESTE,Jovem,2189,2.96,212,1048,0.45,974.35,40.6
NORTE,Adulto,1526,2.98,194,988,0.43,656.17,39.8
NORTE,Idoso,208,2.93,192,910,0.35,72.36,36.5
NORTE,Jovem,567,3.01,181,939,0.38,215.82,41.6
SUDESTE,Adulto,8029,2.99,186,979,0.41,3265.52,38.7
SUDESTE,Idoso,1171,3,198,1020,0.46,533.23,39.5
SUDESTE,Jovem,3252,2.97,200,1031,0.44,1437.53,38.8
SUL,Adulto,2882,2.98,195,1019,0.43,1251.37,38.8
SUL,Idoso,374,2.95,198,963,0.38,142.44,39
SUL,Jovem,1291,3.02,232,1168,0.52,669.44,39.7
